name,city,state,website,num_of_children,children_properties
Banyan Investment Group,Destin,Florida,https://www.hospitalityonline.com/banyan/locations,18,http://banyan-ig.com
Donohoe Hospitality Services,Bethesda,Maryland,https://www.hospitalityonline.com/donohoe-hospitality-services/locations,17,http://donohoe.com/Hospitality/home
North Central Group,Middleton,Wisconsin,https://www.hospitalityonline.com/the-north-central-group/locations,28,https://www.ncghotels.com
Lighthouse Properties,Salina,Kansas,https://www.hospitalityonline.com/lighthouse-properties/locations,2,http://www.lighthousepropertieshotels.com
Chartwell Hospitality (Corporate),Franklin,Tennessee,https://www.hospitalityonline.com/chartwell-hospitality/locations,34,http://www.chartwellhospitality.com
Auro Hotels,Greenville,South Carolina,https://www.hospitalityonline.com/auro-hotels/locations,30,http://www.aurohotels.com
The Scott Resort & Spa,Scottsdale,Arizona,https://www.hospitalityonline.com/scott-resort/locations,1,https://www.thescottresort.com
"Hotel Alba Tampa, Tapestry Collection by Hilton",Tampa,Florida,https://www.hospitalityonline.com/hotel-alba/locations,1,https://tapestrycollection3.hilton.com/tc/hotel-alba-tampa/
Access Hotels & Resorts,Kissimmee,Florida,https://www.hospitalityonline.com/employers/235485/locations,7,https://accesshospitality.com
LBA Hospitality,Dothan,Alabama,https://www.hospitalityonline.com/lba-properties/locations,82,http://www.lbahospitality.com
Aimbridge Hospitality,Plano,Texas,https://www.hospitalityonline.com/aimbridge-hospitality/locations,1227,http://www.aimbridgehospitality.com
Dimension Development Company,Natchitoches,Louisiana,https://www.hospitalityonline.com/dimension/locations,68,https://www.dimdev.com
The Widewaters Group,East Syracuse,New York,https://www.hospitalityonline.com/widewaters/locations,46,http://widewaters.com/
Stanford Hotels Corporation,San Francisco,California,https://www.hospitalityonline.com/stanford-hotels-corporation/locations,18,http://www.stanfordhotels.com
Mid-Continent Hospitality,Lewisville,Texas,https://www.hospitalityonline.com/mid-continent-hospitality/locations,9,http://www.mc-hospitality.com/
Springfield Country Club,Springfield,Pennsylvania,https://www.hospitalityonline.com/springfield-country-club/locations,2,http://springfieldcc.net/
MJC Hospitality,Warner Robins,Georgia,https://www.hospitalityonline.com/mjc-hospitality/locations,5,http://mjchospitality.com/index.php
Lodging Dynamics Hospitality Group,Provo,Utah,https://www.hospitalityonline.com/lodging-dynamics/locations,17,http://www.lodgingdynamics.com/
LodgeWorks,Wichita,Kansas,https://www.hospitalityonline.com/lodgeworks/locations,20,http://www.lodgeworks.com/
SentryWorld,Stevens Point,Wisconsin,https://www.hospitalityonline.com/sentryworld/locations,4,https://www.sentryworld.com
White Lodging,Merrillville,Indiana,https://www.hospitalityonline.com/white-lodging/locations,93,http://www.whitelodging.com
Cathedral Hill Associates,La Mirada,California,https://www.hospitalityonline.com/cathedral-hill-associates/locations,3,http://www.cathedralhillassociates.com/
Parks Hospitality Group,Raleigh,North Carolina,https://www.hospitalityonline.com/parks-hospitality/locations,11,http://www.parkshotels.com
Legacy Ventures Hotels,Atlanta,Georgia,https://www.hospitalityonline.com/legacy-ventures/locations,9,http://lvmgt.com
Kinseth Hospitality Companies,North Liberty,Iowa,https://www.hospitalityonline.com/kinseth-hospitality/locations,98,http://www.kinseth.com
Lexima,Wichita,Kansas,https://www.hospitalityonline.com/leximalodging/locations,5,https://leximalodging.com
